Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
The Princess Bride,Rob Reiner,98 min,1987,3,6,8,9,9,10,8,5,10,3,3,10,7,10,10,3,9,5,5,6
The Lost City,Aaron Nee,112 min,2022,7,7,5,3,10,10,10,6,4,7,10,7,9,6,7,10,8,8,6,7
Clueless,Amy Heckerling,97 min,1995,6,5,5,3,6,3,9,4,7,8,6,8,9,7,6,3,7,4,10,4
Past Lives,Celine Song,106 min,2023,9,6,6,5,9,6,6,7,10,8,4,8,8,8,4,5,9,9,8,5
Puss in Boots,Chris Miller,90 min,2011,6,6,10,4,4,7,6,8,3,10,7,4,3,3,4,7,10,7,4,6
The Dreamers,Bernardo Bertolucci,115 min,2003,4,3,4,10,5,10,3,3,9,9,9,6,7,8,8,4,10,5,8,3
Scott Pilgrim vs. the World,Edgar Wright,112 min,2010,4,8,8,5,10,4,10,10,10,3,10,10,8,5,7,6,6,3,4,3
Maybe I Do,Michael Jacobs,95 min,2023,3,4,8,4,10,3,5,10,10,4,8,5,8,10,7,9,3,6,8,5
Sixteen Candles,John Hughes,93 min,1984,6,7,4,6,5,5,8,7,8,3,8,5,7,7,9,3,6,9,4,4
A Man Called Ove,Hannes Holm,116 min,2015,6,5,5,8,10,4,6,8,3,3,6,5,4,8,7,8,5,6,7,3
Lady Chatterley's Lover,Laure de Clermont-Tonnerre,126 min,2022,3,8,8,10,3,8,7,8,3,5,5,4,7,8,4,9,7,8,3,4
Breakfast at Tiffany's,Blake Edwards,115 min,1961,3,8,10,5,7,5,4,5,10,9,3,3,4,10,5,7,8,4,7,10
Call Me by Your Name,Luca Guadagnino,132 min,2017,9,3,7,5,5,7,7,3,9,4,9,3,3,4,5,5,5,8,3,4
True Romance,Tony Scott,119 min,1993,9,9,6,3,5,8,6,8,10,8,7,8,10,6,7,9,3,10,7,5
The Notebook,Nick Cassavetes,123 min,2004,8,9,4,8,8,9,10,9,3,6,3,4,7,3,4,5,9,3,4,3
Twilight,Catherine Hardwicke,122 min,2008,10,6,8,3,7,5,8,6,5,3,5,10,9,6,5,9,6,9,6,7
365 Days,Barbara Bialowas,114 min,2020,10,5,7,3,3,9,9,7,3,8,6,6,9,8,9,9,10,6,7,5
Licorice Pizza,Paul Thomas Anderson,133 min,2021,4,4,7,7,6,5,8,8,4,8,8,4,9,9,7,9,6,3,10,8
About Time,Richard Curtis,123 min,2013,4,7,4,7,10,5,4,3,10,7,6,7,7,7,10,9,8,7,5,5
Legally Blonde,Robert Luketic,96 min,2001,9,3,5,9,6,6,5,8,7,7,4,4,10,3,9,7,10,8,8,4
Her,Spike Jonze,126 min,2013,10,6,6,8,10,7,8,10,7,8,9,5,3,4,5,6,9,3,7,4
Stardust,Matthew Vaughn,127 min,2007,6,5,8,7,8,3,7,7,10,5,7,5,3,7,7,9,6,3,7,4
West Side Story,Jerome Robbins,153 min,1961,10,3,4,10,10,5,5,9,4,3,10,3,4,3,9,4,9,5,6,4
Practical Magic,Griffin Dunne,104 min,1998,9,5,9,4,4,9,4,7,4,9,7,8,6,8,8,7,9,4,6,5
The Lobster,Yorgos Lanthimos,119 min,2015,3,5,9,10,7,3,8,6,7,5,10,3,9,5,7,9,8,10,10,3
Romeo + Juliet,Baz Luhrmann,120 min,1996,6,9,6,4,5,8,3,6,8,3,6,9,5,8,9,8,10,7,7,9
Bridesmaids,Paul Feig,125 min,2011,7,9,10,10,5,3,4,3,6,7,8,7,5,9,4,3,8,3,3,6
Lolita,Adrian Lyne,137 min,1997,7,3,3,9,6,6,9,7,3,9,6,4,3,4,8,7,10,10,5,9
Pretty Woman,Garry Marshall,119 min,1990,10,4,8,3,5,3,4,7,10,6,9,6,10,3,10,3,7,5,8,7
Just Go with It,Dennis Dugan,117 min,2011,10,10,3,7,7,4,5,7,3,7,5,4,7,8,9,5,7,10,3,8
The Shape of Water,Guillermo del Toro,123 min,2017,7,6,10,4,9,7,8,3,6,7,7,10,4,10,3,3,4,10,3,9
Pitch Perfect,Jason Moore,112 min,2012,4,7,3,8,3,4,7,5,3,7,6,5,6,3,9,9,3,8,8,9
Three Thousand Years of Longing,George Miller,108 min,2022,8,4,5,6,3,10,3,3,6,6,4,6,8,9,4,6,5,5,4,7
10 Things I Hate About You,Gil Junger,97 min,1999,10,7,9,4,8,6,6,4,3,4,9,6,7,7,3,9,5,4,7,7
Les Misérables,Tom Hooper,158 min,2012,10,5,4,6,5,6,10,7,5,3,4,6,9,8,10,10,7,10,7,10
Steel Magnolias,Herbert Ross,117 min,1989,6,9,4,8,7,9,5,10,9,6,3,7,6,9,4,10,5,7,3,10
The French Dispatch,Wes Anderson,107 min,2021,8,9,4,10,7,4,6,7,4,6,6,3,3,5,7,6,5,9,6,3
Dirty Dancing,Emile Ardolino,100 min,1987,7,5,9,3,7,7,7,8,10,6,6,9,3,5,3,4,9,7,10,3
Life Is Beautiful,Roberto Benigni,116 min,1997,3,6,7,7,9,3,8,4,4,10,6,4,9,3,3,9,10,3,4,3
The Handmaiden,Park Chan-wook,145 min,2016,9,4,8,7,7,5,3,3,5,9,8,5,8,6,4,6,9,3,7,3
After,Jenny Gage,105 min,2019,7,3,10,9,3,9,4,4,5,3,4,10,8,9,5,6,6,6,8,10
West Side Story,Steven Spielberg,156 min,2021,3,4,9,7,4,4,6,9,5,9,3,6,5,10,4,7,5,9,5,6
Willow,Ron Howard,126 min,1988,5,9,8,5,10,6,3,10,7,10,9,8,8,3,5,9,10,6,4,4
The King,David Michôd,140 min,2019,7,8,9,8,8,7,9,3,4,10,8,4,3,3,10,9,3,3,3,8
Me Before You,Thea Sharrock,106 min,2016,6,4,9,9,6,10,4,3,3,7,5,5,6,4,7,7,8,9,7,9
Cast Away,Robert Zemeckis,143 min,2000,4,10,6,5,3,8,3,4,5,9,6,6,4,4,10,4,8,6,4,4
"Crazy, Stupid, Love.",Glenn Ficarra,118 min,2011,3,8,7,7,8,9,9,6,4,4,3,7,10,6,5,3,4,8,8,3
Battle Cry,Raoul Walsh,149 min,1955,5,6,7,8,9,7,4,6,9,5,4,7,9,9,6,9,6,8,5,7
Shrek,Andrew Adamson,90 min,2001,3,8,10,9,8,9,5,9,5,10,10,4,7,7,8,7,7,7,7,6
Malena,Giuseppe Tornatore,108 min,2000,8,6,10,9,9,8,4,3,3,6,5,8,3,10,3,10,5,5,4,4
The Sound of Music,Robert Wise,172 min,1965,8,3,6,10,8,5,6,3,3,3,5,9,3,5,10,9,5,6,4,7
As Good as It Gets,James L. Brooks,139 min,1997,3,6,8,9,9,10,8,5,10,3,3,10,7,10,10,3,9,5,5,6
A Star Is Born,Bradley Cooper,136 min,2018,7,7,5,3,10,10,10,6,4,7,10,7,9,6,7,10,8,8,6,7
Meet Joe Black,Martin Brest,178 min,1998,6,5,5,3,6,3,9,4,7,8,6,8,9,7,6,3,7,4,10,4
The Worst Person in the World,Joachim Trier,128 min,2021,9,6,6,5,9,6,6,7,10,8,4,8,8,8,4,5,9,9,8,5
The Age of Adaline,Lee Toland Krieger,112 min,2015,6,6,10,4,4,7,6,8,3,10,7,4,3,3,4,7,10,7,4,6
Weird Science,John Hughes,94 min,1985,4,3,4,10,5,10,3,3,9,9,9,6,7,8,8,4,10,5,8,3
Brokeback Mountain,Ang Lee,134 min,2005,4,8,8,5,10,4,10,10,10,3,10,10,8,5,7,6,6,3,4,3
Friends with Benefits,Will Gluck,109 min,2011,3,4,8,4,10,3,5,10,10,4,8,5,8,10,7,9,3,6,8,5
The 40-Year-Old Virgin,Judd Apatow,116 min,2005,6,9,5,4,5,9,10,5,8,4,3,7,5,8,6,6,6,3,5,10
Crazy Rich Asians,Jon M. Chu,120 min,2018,4,8,3,7,8,7,3,4,3,9,8,4,3,8,4,4,8,8,3,3
Love Actually,Richard Curtis,135 min,2003,9,7,10,4,8,9,7,7,5,3,4,3,10,8,4,5,6,3,5,5
Closer,Mike Nichols,104 min,2004,7,4,7,3,10,7,8,8,10,3,7,3,8,9,8,7,3,5,3,4
Asteroid City,Wes Anderson,105 min,2023,5,5,9,4,3,9,10,10,4,5,7,3,3,8,9,3,9,6,5,7
Beauty and the Beast,Bill Condon,129 min,2017,7,5,10,3,5,6,4,8,4,10,7,10,9,3,9,5,6,7,3,6
A Knight's Tale,Brian Helgeland,132 min,2001,8,8,5,9,8,6,4,7,4,4,7,7,10,3,7,8,10,9,9,10
Blue Is the Warmest Colour,Abdellatif Kechiche,180 min,2013,3,6,7,3,8,6,3,6,6,5,5,9,7,7,9,4,4,9,4,9
Sissy,Hannah Barlow,102 min,2022,5,8,5,3,5,3,5,9,4,8,10,5,5,5,4,9,7,8,8,5
Sweet Home Alabama,Andy Tennant,108 min,2002,3,4,3,6,6,7,6,3,10,6,10,6,5,4,10,10,10,10,4,9
The Curious Case of Benjamin Button,David Fincher,166 min,2008,4,7,4,7,10,5,4,3,10,7,6,7,7,7,10,9,8,7,5,5
She's the Man,Andy Fickman,105 min,2006,9,3,5,9,6,6,5,8,7,7,4,4,10,3,9,7,10,8,8,4
Are You,Alauda Ruiz de Azúa,96 min,2023,10,6,6,8,10,7,8,10,7,8,9,5,3,4,5,6,9,3,7,4
"Crouching Tiger, Hidden Dragon",Ang Lee,120 min,2000,6,5,8,7,8,3,7,7,10,5,7,5,3,7,7,9,6,3,7,4
Beautiful Disaster,Roger Kumble,105 min,2023,10,3,4,10,10,5,5,9,4,3,10,3,4,3,9,4,9,5,6,4
Love & Other Drugs,Edward Zwick,112 min,2010,9,5,9,4,4,9,4,7,4,9,7,8,6,8,8,7,9,4,6,5
Atonement,Joe Wright,123 min,2007,3,5,9,10,7,3,8,6,7,5,10,3,9,5,7,9,8,10,10,3
Lie with Me,Clement Virgo,93 min,2005,6,9,6,4,5,8,3,6,8,3,6,9,5,8,9,8,10,7,7,9
Passengers,Morten Tyldum,116 min,2016,7,9,10,10,5,3,4,3,6,7,8,7,5,9,4,3,8,3,3,6
Cinderella,Kenneth Branagh,105 min,2015,7,3,3,9,6,6,9,7,3,9,6,4,3,4,8,7,10,10,5,9
Maleficent,Robert Stromberg,97 min,2014,10,4,8,3,5,3,4,7,10,6,9,6,10,3,10,3,7,5,8,7
The Girl Next Door,Luke Greenfield,109 min,2004,10,10,3,7,7,4,5,7,3,7,5,4,7,8,9,5,7,10,3,8
Little Children,Todd Field,137 min,2006,7,6,10,4,9,7,8,3,6,7,7,10,4,10,3,3,4,10,3,9
The Blue Lagoon,Randal Kleiser,104 min,1980,4,7,3,8,3,4,7,5,3,7,6,5,6,3,9,9,3,8,8,9
The Darkest Minds,Jennifer Yuh Nelson,104 min,2018,8,4,5,6,3,10,3,3,6,6,4,6,8,9,4,6,5,5,4,7
Your Name.,Makoto Shinkai,106 min,2016,10,7,9,4,8,6,6,4,3,4,9,6,7,7,3,9,5,4,7,7
Casablanca,Michael Curtiz,102 min,1942,10,5,4,6,5,6,10,7,5,3,4,6,9,8,10,10,7,10,7,10
Mamma Mia!,Phyllida Lloyd,108 min,2008,6,9,4,8,7,9,5,10,9,6,3,7,6,9,4,10,5,7,3,10
Pearl Harbor,Michael Bay,183 min,2001,8,9,4,10,7,4,6,7,4,6,6,3,3,5,7,6,5,9,6,3
Cashback,Sean Ellis,102 min,2006,7,5,9,3,7,7,7,8,10,6,6,9,3,5,3,4,9,7,10,3
Empire Records,Allan Moyle,90 min,1995,3,6,7,7,9,3,8,4,4,10,6,4,9,3,3,9,10,3,4,3
Big,Penny Marshall,104 min,1988,9,4,8,7,7,5,3,3,5,9,8,5,8,6,4,6,9,3,7,3
Cruel Intentions,Roger Kumble,97 min,1999,7,3,10,9,3,9,4,4,5,3,4,10,8,9,5,6,6,6,8,10
Gone with the Wind,Victor Fleming,238 min,1939,3,4,9,7,4,4,6,9,5,9,3,6,5,10,4,7,5,9,5,6
Forgetting Sarah Marshall,Nicholas Stoller,111 min,2008,5,9,8,5,10,6,3,10,7,10,9,8,8,3,5,9,10,6,4,4
