Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20,Average
Avengers: Endgame,Anthony Russo,181 min,2019,4,5,8,7,6,7,6,3,10,4,9,9,6,7,5,3,9,7,4,3,6.1
Legion of Super-Heroes,Jeff Wamester,83 min,2023,7,3,7,9,3,7,7,4,9,6,3,6,8,4,5,10,5,9,4,5,6.05
Oblivion,Scott Beck,125min,2023,7,9,7,4,10,9,4,9,6,9,3,8,8,10,3,4,9,9,8,3,6.95
Little Dixie,John Swab,105 min,2023,5,5,5,4,8,9,10,5,3,10,6,7,6,5,3,5,10,3,4,7,6
An Action Hero,Anirudh Iyer,130 min,2022,7,8,10,3,4,3,6,7,5,7,8,7,4,5,3,6,7,7,4,9,6
Strange World,Don Hall,102 min,2022,3,10,6,7,9,4,10,10,10,3,5,6,6,6,9,6,3,5,6,3,6.35
John Wick,Chad Stahelski,101 min,2014,7,4,7,5,4,9,6,4,4,7,5,3,3,10,8,10,6,3,9,7,6.05
The Gentlemen,Guy Ritchie,113 min,2019,3,4,5,7,7,9,7,6,4,7,8,7,5,4,6,9,9,10,3,3,6.15
Blade Runner 2049,Denis Villeneuve,114 min,2017,4,10,5,3,3,5,9,8,5,3,3,5,8,3,10,8,9,4,10,3,5.9
F9: The Fast Saga,Justin Lin,115 min,2021,9,10,8,5,6,9,6,10,10,7,5,8,4,8,4,3,7,5,4,6,6.7
Violent Night,Tommy Wirkola,116 min,2022,4,6,9,5,10,10,3,9,5,7,3,4,10,8,4,7,8,8,9,9,6.9
Last Seen Alive,Brian Goodman,117 min,2022,7,3,3,4,9,5,7,6,3,3,6,10,8,9,8,9,5,6,4,7,6.1
Nobody,Ilya Naishuller,118 min,2021,8,10,7,9,10,3,3,9,7,5,6,10,7,8,9,9,3,10,9,6,7.4
The Matrix,Lana Wachowski,119 min,1999,9,10,7,9,10,8,9,10,5,6,5,4,6,6,10,8,6,7,9,9,7.65
The Gray Man,Anthony Russo,120 min,2022,8,6,4,5,8,7,10,5,4,3,6,3,4,10,8,6,4,7,3,5,5.8
Guardians of the Galaxy Vol. 3,James Gunn,121 min,2023,9,7,8,5,9,10,6,4,5,3,3,5,6,6,3,4,4,6,6,8,5.85
Raiders of the Lost Ark,Steven Spielberg,122 min,1981,4,9,7,8,8,3,4,7,5,3,9,6,4,10,7,9,6,3,9,5,6.3
Independence Day,Roland Emmerich,123 min,1996,7,4,6,4,8,7,5,10,3,8,4,6,4,6,7,4,3,7,4,5,5.6
Scott Pilgrim vs. the World,Edgar Wright,124 min,2010,5,5,7,5,10,4,9,3,7,8,7,7,3,4,3,7,9,4,4,7,5.9
The Fast and the Furious,Rob Cohen,125 min,2001,5,6,5,9,6,5,5,7,10,7,9,8,5,4,6,6,7,3,3,10,6.3
The Expendables 4,Scott Waugh,126 min,2023,5,5,9,10,6,3,3,9,3,9,10,8,6,10,7,4,5,9,5,8,6.7
Barb Wire,David Hogan,127 min,1996,3,3,10,3,4,6,10,10,6,8,3,10,7,7,9,8,9,7,7,5,6.75
No Time to Die,Cary Joji Fukunaga,128 min,2021,7,10,10,7,9,6,3,6,8,9,3,5,7,8,3,8,7,9,10,4,6.95
Uncharted,Ruben Fleischer,129 min,2022,8,9,5,6,9,6,5,7,6,4,10,6,8,8,10,4,8,8,8,5,7
Tenet,Christopher Nolan,130 min,2020,5,5,3,9,4,3,8,9,5,4,3,7,7,3,6,9,8,8,4,6,5.8
Shazam! Fury of the Gods,David F. Sandberg,131 min,2023,8,9,9,8,8,3,3,10,3,10,7,4,5,6,4,10,3,6,9,3,6.4
Heat,Michael Mann,132 min,1995,3,4,5,5,8,3,8,10,9,5,3,7,10,4,6,7,6,9,6,10,6.4
The Suicide Squad,James Gunn,133 min,2021,6,7,7,5,9,9,10,5,7,8,3,5,9,9,7,3,6,4,9,10,6.9
The Mummy,Stephen Sommers,134 min,1999,10,6,3,6,6,8,4,4,8,9,10,6,10,8,9,8,10,6,3,4,6.9
Dunkirk,Christopher Nolan,135 min,2017,4,3,4,10,4,8,4,10,9,5,4,10,6,5,5,10,6,10,10,6,6.65
Jurassic Park,Steven Spielberg,136 min,1993,6,8,6,5,4,3,6,8,4,7,9,4,9,6,3,5,8,9,7,9,6.3
Kingsman: The Golden Circle,Matthew Vaughn,137 min,2017,8,4,8,4,3,7,10,4,7,7,7,5,6,7,4,4,10,5,10,8,6.4
Willow,Ron Howard,138 min,1988,3,6,9,6,5,10,9,3,7,7,8,6,9,3,6,10,5,3,4,10,6.45
Ant-Man,Peyton Reed,139 min,2015,4,8,10,5,6,3,6,7,10,3,10,4,3,3,5,7,8,8,8,8,6.3
Edge of Tomorrow,Doug Liman,140 min,2014,6,8,7,7,9,6,7,4,3,5,8,7,7,9,3,4,9,8,10,6,6.65
The Lord of the Rings: The Return of the King,Peter Jackson,141 min,2003,4,6,9,5,5,7,5,6,8,10,10,6,5,10,9,7,6,6,9,8,7.05
The Lost City,"Aaron Nee, 
Adam Nee",142 min,2022,8,3,5,10,9,5,3,3,9,7,7,6,5,8,8,8,10,6,3,8,6.55
Dune: Part Two,Denis Villeneuve,146 min,2023,10,5,8,8,4,3,3,3,8,7,6,8,10,8,7,9,9,6,7,7,6.8
The Hunger Games: Catching Fire,Francis Lawrence,147 min,2013,5,3,6,10,6,7,6,10,7,6,9,3,4,4,7,7,7,5,10,3,6.25
Infinite,Antoine Fuqua,148 min,2021,5,10,4,4,7,8,4,7,5,4,10,9,7,9,6,6,9,9,7,5,6.75
The King's Man,Matthew Vaughn,131 min,2021,9,5,7,5,8,7,3,6,3,4,8,5,6,10,3,8,3,3,6,3,5.6
Doctor Strange in the Multiverse of Madness,Sam Raimi,132 min,2022,7,5,6,6,8,10,9,8,3,3,7,9,5,6,5,4,7,6,9,6,6.45
Beast,Baltasar Kormákur,133 min,2022,8,6,3,4,6,8,9,10,10,5,6,4,10,4,4,6,6,10,3,10,6.6
Eternals,Chloé Zhao,134 min,2021,8,7,3,5,6,8,6,4,8,10,3,5,3,7,6,7,10,3,7,9,6.25
Guardians of the Galaxy,James Gunn,135 min,2014,9,4,9,7,5,8,6,8,6,8,4,8,4,4,6,6,9,5,7,8,6.55
Léon: The Professional,Luc Besson,136 min,1994,8,9,6,10,6,8,3,9,6,7,10,7,9,10,3,3,4,8,9,10,7.25
Prey,Dan Trachtenberg,137 min,2022,10,9,7,6,7,9,5,6,5,3,4,5,5,7,8,3,10,8,7,8,6.6
Mad Max: Fury Road,George Miller,138 min,2015,4,4,7,9,8,5,10,5,9,7,9,6,3,9,4,5,3,5,4,5,6.05
Murder Mystery,Kyle Newacheck,139 min,2019,4,9,3,8,9,3,9,3,10,5,8,10,9,7,3,4,9,6,7,8,6.7
Road House,Rowdy Herrington,140 min,1989,4,10,6,10,3,4,3,10,8,9,9,5,7,9,9,10,6,5,9,4,7
Free Guy,Shawn Levy,141 min,2021,8,3,10,4,10,8,5,3,9,8,6,5,8,5,9,7,10,9,3,10,7
Mission Majnu,Shantanu Bagchi,142 min,2023,6,8,5,3,3,7,4,4,5,7,6,10,7,7,7,10,6,5,8,8,6.3
Star Wars,George Lucas,143 min,1977,5,3,3,4,8,3,8,9,7,4,8,8,6,6,5,7,6,6,5,4,5.75
The School for Good and Evil,Paul Feig,144 min,2022,8,10,6,10,9,5,7,3,10,7,10,9,6,5,7,10,5,8,6,3,7.2
1917,Sam Mendes,145 min,2019,6,6,6,6,9,6,7,9,10,3,5,4,8,6,10,10,4,5,4,6,6.5
GoldenEye,Martin Campbell,146 min,1995,5,8,5,7,10,10,5,5,3,7,6,9,8,7,10,9,4,6,7,8,6.95
Sicario,Denis Villeneuve,147 min,2015,8,5,7,10,10,10,3,7,4,3,6,4,8,4,9,4,10,10,5,8,6.75
Suicide Squad,David Ayer,148 min,2016,3,10,4,9,8,6,10,9,9,3,9,6,6,8,6,8,4,5,7,8,6.9
Oldboy,Park Chan-wook,149 min,2003,8,8,4,5,10,9,10,5,4,6,10,9,5,9,10,7,8,8,4,7,7.3
Avengers: Infinity War,Anthony Russo,150 min,2018,5,6,7,3,6,5,8,7,9,5,9,5,8,7,7,7,6,7,7,4,6.4
Transformers: Rise of the Beasts,Steven Caple Jr.,151 min,2023,3,9,6,5,10,10,4,5,8,8,4,10,8,8,10,8,5,6,8,5,7
From Dusk Till Dawn,Robert Rodriguez,152 min,1996,9,10,4,10,7,9,9,10,8,8,8,7,4,4,7,5,5,5,9,4,7.1
Wonder Woman 1984,Patty Jenkins,153 min,2020,6,10,3,6,7,6,7,5,10,7,7,4,10,5,8,4,5,6,5,10,6.55
Deadpool 2,David Leitch,154 min,2018,10,5,8,8,6,10,6,5,5,6,10,7,5,4,9,7,6,8,4,7,6.8
Murder Mystery 2,Jeremy Garelick,155 min,2023,6,3,6,9,5,4,8,6,5,5,9,5,7,9,8,3,10,8,7,3,6.3
Kingsman: The Secret Service,Matthew Vaughn,156 min,2014,6,7,8,5,8,5,10,5,8,9,10,3,4,4,4,10,3,3,5,6,6.15
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,157 min,2003,4,5,8,9,6,4,5,4,6,3,9,7,6,6,3,3,10,7,8,8,6.05
Poker Face,Russell Crowe,158 min,2022,6,6,8,9,4,8,6,4,6,7,8,7,5,8,6,4,10,7,8,7,6.7
Ant-Man and the Wasp,Peyton Reed,159 min,2018,6,9,5,7,6,8,9,10,7,9,4,8,8,10,10,3,9,9,3,3,7.15
The Hunger Games: The Ballad of Songbirds and Snakes,Francis Lawrence,160 min,2023,10,7,10,9,8,10,7,6,7,7,8,5,4,10,3,10,9,4,10,6,7.5
John Wick: Chapter 3 - Parabellum,Chad Stahelski,161 min,2019,9,4,7,9,5,7,5,5,8,9,10,4,7,8,10,5,4,8,6,4,6.7
The Lord of the Rings: The Two Towers,Peter Jackson,162 min,2002,10,6,8,4,9,10,5,6,4,5,9,7,6,4,5,3,3,8,9,6,6.35
Indiana Jones and the Last Crusade,Steven Spielberg,163 min,1989,5,9,3,8,9,7,4,5,9,3,8,10,10,6,7,4,8,9,3,8,6.75
Drive,Nicolas Winding Refn,164 min,2011,8,6,7,4,7,7,7,10,8,7,9,9,9,3,6,6,10,7,8,10,7.4
Blade Runner,Ridley Scott,165 min,1982,5,4,9,6,8,7,10,5,10,9,4,6,10,5,6,9,6,5,10,7,7.05
The Dark Knight Rises,Christopher Nolan,166 min,2012,7,3,5,3,3,9,4,6,6,7,6,7,5,10,8,3,3,6,6,9,5.8
Mission: Impossible - Fallout,Christopher McQuarrie,167 min,2018,4,7,3,8,10,6,9,3,8,7,6,7,3,7,7,8,4,3,5,8,6.15
Baywatch,Seth Gordon,168 min,2017,6,4,7,3,3,6,9,3,3,7,9,3,8,5,3,6,3,6,6,6,5.3
Rogue One: A Star Wars Story,Gareth Edwards,169 min,2016,6,10,10,7,4,7,8,5,3,7,5,3,6,10,7,5,3,6,9,9,6.5
The Terminator,James Cameron,170 min,1984,6,8,5,6,10,4,3,9,5,7,8,3,9,8,4,7,7,5,6,7,6.35
Terminator 2: Judgment Day,James Cameron,171 min,1991,6,6,8,4,6,8,10,10,4,8,10,10,7,6,4,5,5,4,7,9,6.85
True Lies,James Cameron,172 min,1994,7,6,3,9,7,8,4,8,10,6,3,6,8,8,3,4,7,8,5,9,6.45
Medieval,Petr Jákl,173 min,2022,6,9,7,7,8,5,7,4,6,6,5,8,8,8,7,10,3,6,4,8,6.6
The Man from U.N.C.L.E.,Guy Ritchie,174 min,2015,5,10,3,6,10,6,4,6,9,5,4,4,7,4,6,8,3,4,7,6,5.85
Wrath of Man,Guy Ritchie,175 min,2021,4,10,10,5,8,3,6,7,8,7,9,6,6,6,3,4,5,9,9,5,6.5
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,176 min,2023,4,3,5,3,10,6,6,6,6,10,7,4,9,9,3,4,10,8,7,6,6.3
Spider-Man: Into the Spider-Verse,Bob Persichetti,177 min,2018,3,3,6,4,7,9,4,6,5,6,4,3,8,6,8,3,7,5,4,5,5.3
Ready Player One,Steven Spielberg,178 min,2018,9,8,7,5,9,6,6,6,7,10,3,10,5,5,9,10,9,5,5,3,6.85
Harry Potter and the Order of the Phoenix,David Yates,179 min,2007,6,9,10,8,10,9,3,3,9,9,10,4,5,8,7,8,8,5,7,6,7.2
Red Sparrow,Francis Lawrence,180 min,2018,5,6,9,4,9,6,7,6,8,4,8,7,8,8,3,7,9,6,3,10,6.65
Spider-Man,Sam Raimi,181 min,2002,3,9,10,5,7,4,8,3,10,9,4,7,9,3,9,6,7,4,6,4,6.35
